time,temperature_2m (・・C),relative_humidity_2m (%),dew_point_2m (・・C),apparent_temperature (・・C),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (・・),wind_direction_100m (・・),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (・・C),soil_temperature_7_to_28cm (・・C),soil_temperature_28_to_100cm (・・C),soil_temperature_100_to_255cm (・・C),soil_moisture_0_to_7cm (m?/m?),soil_moisture_7_to_28cm (m?/m?),soil_moisture_28_to_100cm (m?/m?),soil_moisture_100_to_255cm (m?/m?),shortwave_radiation (W/m?),direct_radiation (W/m?),diffuse_radiation (W/m?),direct_normal_irradiance (W/m?),global_tilted_irradiance (W/m?),terrestrial_radiation (W/m?),is_day (),sunshine_duration (s),electricity_shutdown
2022-01-01 00:00:00,24.3,91.0,20.7,25.7,0.1,1011.4,987.2,52.0,3.0,32.0,100.0,0.39,5.3,10.9,298.0,278.0,16.6,23.8,25.5,25.5,25.4,0.272,0.278,0.269,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00,22.2,89.0,20.3,25.5,0.0,1010.9,986.7,52.0,18.0,17.0,100.0,0.29,5.3,12.7,298.0,295.0,8.3,23.4,25.3,25.5,25.4,0.271,0.278,0.269,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,24.3,87.0,20.2,25.4,0.0,1010.0,985.8,42.0,7.0,10.0,100.0,0.37,7.6,16.8,315.0,315.0,13.0,23.2,25.1,25.5,25.4,0.271,0.278,0.269,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,22.5,86.0,20.1,25.1,0.0,1010.0,985.8,43.0,8.0,9.0,100.0,0.38,5.4,19.4,320.0,313.0,15.1,23.1,25.0,25.5,25.4,0.27,0.277,0.268,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,22.7,84.0,19.9,25.6,0.0,1009.8,985.7,52.0,13.0,10.0,100.0,0.43,6.4,16.1,308.0,312.0,18.0,23.0,24.8,25.5,25.4,0.27,0.277,0.241,0.323,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,0.0
2022-01-01 05:00:00,22.4,86.0,19.9,25.4,0.0,1010.2,986.0,50.0,9.0,19.0,100.0,0.39,5.4,13.8,230.0,321.0,10.4,22.9,24.7,25.5,25.4,0.269,0.277,0.268,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:00:00,22.9,85.0,20.2,25.8,0.0,1010.9,986.8,48.0,18.0,10.0,100.0,0.42,5.4,13.8,230.0,313.0,10.4,22.8,24.6,25.5,25.4,0.269,0.277,0.268,0.323,13.0,1.0,12.0,10.1,13.0,77.9,1.0,0.0,0.0
2022-01-01 07:00:00,25.0,81.0,21.4,28.4,0.0,1011.0,987.0,38.0,4.0,7.0,100.0,0.61,8.4,13.8,310.0,311.0,17.6,24.0,24.5,25.5,25.4,0.267,0.276,0.267,0.323,153.0,69.0,84.0,285.1,153.0,342.4,1.0,3600.0,0.0
2022-01-01 08:00:00,24.3,77.0,21.8,29.7,0.0,1011.4,986.9,41.0,10.0,3.0,100.0,0.39,9.3,12.6,306.0,307.0,19.4,25.2,24.6,25.5,25.4,0.265,0.275,0.267,0.323,373.0,257.0,116.0,551.8,373.0,658.8,1.0,3600.0,
2022-01-01 09:00:00,24.3,74.0,22.4,31.2,0.0,1011.5,987.7,52.0,8.0,4.0,100.0,0.95,5.4,15.6,230.0,293.0,24.8,26.5,24.7,25.5,25.4,0.263,0.274,0.266,0.323,619.0,484.0,135.0,731.9,619.0,935.4,1.0,3600.0,0.0
2022-01-01 10:00:00,24.3,74.0,23.1,33.4,0.0,1011.4,987.7,39.0,8.0,3.0,100.0,1.01,5.4,13.8,274.0,222.0,26.6,27.8,24.9,25.5,25.4,0.26,0.273,0.266,0.323,752.0,606.0,146.0,743.2,752.0,1153.4,1.0,3600.0,0.0
2022-01-01 11:00:00,24.3,75.0,23.8,35.1,,1010.9,987.2,45.0,16.0,1.0,100.0,0.39,10.2,12.9,280.0,283.0,28.8,28.9,25.2,25.5,25.4,0.257,0.271,0.241,0.323,888.0,690.0,198.0,752.0,888.0,1297.9,1.0,3600.0,0.0
2022-01-01 12:00:00,28.9,75.0,24.1,35.7,,1009.9,986.2,100.0,100.0,1.0,98.0,0.98,10.0,12.5,255.0,258.0,28.4,29.8,25.6,25.5,25.4,0.255,0.27,0.265,0.323,911.0,605.0,306.0,629.7,911.0,77.2,1.0,3600.0,0.0
2022-01-01 14:00:00,26.9,82.0,23.7,31.7,,1008.9,985.1,52.0,9.0,10.0,100.0,0.62,8.1,10.7,283.0,282.0,26.3,28.6,26.1,25.5,25.4,0.302,0.271,0.264,0.323,496.0,167.0,329.0,193.6,496.0,77.2,1.0,3600.0,0.0
2022-01-01 15:00:00,24.3,86.0,22.3,28.2,5.2,1009.3,986.9,100.0,76.0,60.0,100.0,0.44,12.2,17.6,289.0,285.0,33.8,28.0,26.3,25.5,25.4,0.349,0.277,0.263,0.322,438.0,126.0,312.0,173.0,438.0,1030.3,1.0,3389.84,
2022-01-01 16:00:00,25.2,85.0,22.5,28.9,0.1,1009.1,986.9,92.0,51.0,26.0,100.0,0.48,5.4,14.8,315.0,317.0,24.5,26.8,26.4,25.5,25.4,0.326,0.284,0.263,0.322,161.0,6.0,155.0,11.0,161.0,774.9,1.0,0.0,0.0
2022-01-01 17:00:00,24.3,87.0,22.3,28.2,0.3,1009.5,985.5,58.0,8.0,10.0,100.0,0.42,11.2,17.1,312.0,309.0,23.0,26.1,26.4,25.5,25.4,0.317,0.287,0.263,0.322,155.0,44.0,111.0,131.9,155.0,471.9,1.0,2157.19,
2022-01-01 18:00:00,24.2,88.0,22.0,27.9,,1010.3,986.9,50.0,18.0,13.0,100.0,0.38,8.7,16.1,322.0,318.0,19.8,25.4,26.3,25.5,25.4,0.31,0.289,0.263,0.322,46.0,11.0,35.0,75.4,46.0,144.8,0.0,284.12,
2022-01-01 19:00:00,24.3,88.0,22.5,28.6,0.0,1010.9,986.9,50.0,7.0,23.0,100.0,0.37,5.4,14.7,317.0,324.0,14.8,26.3,26.1,25.5,25.4,0.288,0.272,0.241,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-01-01 20:00:00,24.4,86.0,21.8,28.2,0.0,1011.4,987.4,39.0,8.0,3.0,100.0,0.44,5.4,14.3,309.0,315.0,13.3,25.5,26.1,25.5,25.4,0.286,0.272,0.258,0.322,0.0,0.0,0.0,0.0,0.0,77.2,0.0,0.0,
